type,frame,level,video_id
pitfall,10507,1-3,1
pitfall,11357,1-3,1
pitfall,13372,1-3,1
pitfall,13173,1-2,2
enemy,13954,1-2,2
enemy,15232,1-2,2
enemy,22807,1-2,2
pitfall,29640,1-3,2
enemy,33610,1-4,2
enemy,1118,1-1,3
enemy,13259,1-2,3
pitfall,14990,1-2,3
pitfall,30349,1-3,3
pitfall,34340,1-3,3
enemy,40155,1-4,3
enemy,49585,1-2,3
enemy,63897,1-4,3
pitfall,74589,1-2,3
enemy,84683,1-4,3
enemy,86682,1-4,3
enemy,4499,1-2,4
pitfall,12078,1-3,4
pitfall,13580,1-3,5
pitfall,14968,1-3,5
enemy,19278,1-4,5
enemy,21208,1-4,5
enemy,24414,1-1,5
enemy,31889,1-2,5
pitfall,10715,1-3,6
pitfall,12830,1-3,6
pitfall,13753,1-3,6
enemy,16510,1-4,6
pitfall,27437,1-3,6
enemy,31634,1-4,6
pitfall,9821,1-3,7
pitfall,10719,1-3,7
enemy,13866,1-4,7
