number,type,frame,level,video_id
1,pitfall,10510,1-3,1
2,pitfall,11359,1-3,1
3,pitfall,12912,1-3,1
4,pitfall,13375,1-3,1
1,pitfall,12638,1-2,2
2,pitfall,13175,1-2,2
3,enemy,13954,1-2,2
4,enemy,15232,1-2,2
5,enemy,22807,1-2,2
6,pitfall,28807,1-3,2
7,enemy,33629,1-4,2
1,enemy,1118,1-1,3
2,enemy,13240,1-2,3
3,pitfall,14993,1-2,3
4,pitfall,30351,1-3,3
5,pitfall,31929,1-3,3
6,pitfall,34343,1-3,3
7,enemy,40175,1-4,3
8,enemy,49585,1-2,3
9,pitfall,57364,1-3,3
10,enemy,63897,1-4,3
11,pitfall,74591,1-2,3
12,pitfall,79327,1-3,3
13,enemy,84683,1-4,3
14,enemy,86682,1-4,3
1,enemy,4499,1-2,4
2,pitfall,12080,1-3,4
1,pitfall,3903,1-1,5
2,pitfall,14971,1-3,5
3,enemy,19297,1-4,5
4,enemy,21227,1-4,5
5,enemy,24414,1-1,5
6,enemy,31889,1-2,5
1,pitfall,10718,1-3,6
2,pitfall,12035,1-3,6
3,pitfall,12832,1-3,6
4,pitfall,13756,1-3,6
5,enemy,16510,1-4,6
6,pitfall,27439,1-3,6
7,enemy,31634,1-4,6
1,pitfall,9823,1-3,7
2,pitfall,10722,1-3,7
3,enemy,13885,1-4,7
