frame,level,video_id
456,1-1,1
5967,1-2,1
10109,1-3,1
483,1-1,2
6183,1-2,2
16927,1-1,2
21276,1-2,2
27656,1-3,2
32178,1-4,2
513,1-1,3
9148,1-2,3
15864,1-1,3
22377,1-2,3
28579,1-3,3
37315,1-4,3
40987,1-1,3
46949,1-2,3
56121,1-3,3
60670,1-4,3
64739,1-1,3
68903,1-2,3
78086,1-3,3
81807,1-4,3
33,1-1,4
2717,1-2,4
9736,1-3,4
14302,1-4,4
16554,2-1,4
594,1-1,5
6134,1-2,5
12142,1-3,5
17658,1-4,5
22427,1-1,5
26972,1-2,5
35657,1-3,5
40032,1-4,5
42128,2-1,5
53,1-1,6
4833,1-2,6
9329,1-3,6
15993,1-4,6
17245,1-1,6
21240,1-2,6
25853,1-3,6
29721,1-4,6
34343,2-1,6
80,1-1,7
4239,1-2,7
8540,1-3,7
12777,1-4,7
